combination,ml type,loss rate,f1 score
B,AB,0.06149825586468394,0.9395749245235441
C,KNN,0.06149825586468394,0.7036675451833804
I,KNN,0.06149825586468394,0.851410550240346
B + C,AB,0.06149825586468394,0.9469192496174377
B + I,AB,0.06149825586468394,0.9575413437439093
C + I,AB,0.06149825586468394,0.8889791479373967
B + C + I,AB,0.06149825586468394,0.9583622969544996
T,RF,0.07202107152105366,0.9806310648415911
T + B,AB,2.2184105944159107,0.9911373707533235
T + C,GB,2.2184105944159107,0.9895488087611912
T + I,KNN,2.2184105944159107,0.9878275705495134
T + B + C,DT,2.801532697225109,0.9955840523148903
T + B + I,AB,2.801532697225109,0.9970247498502542
T + C + I,GB,2.801532697225109,0.983196624202519
T + B + C + I,AB,3.0930937486297085,0.9970247498502542
